DATE,CSUSHPINSA
1/1/1987,63.754
2/1/1987,64.154
3/1/1987,64.49
4/1/1987,64.995
5/1/1987,65.57
6/1/1987,66.238
7/1/1987,66.802
8/1/1987,67.282
9/1/1987,67.637
10/1/1987,67.916
11/1/1987,68.107
12/1/1987,68.358
1/1/1988,68.596
2/1/1988,68.929
3/1/1988,69.336
4/1/1988,69.799
5/1/1988,70.418
6/1/1988,71.077
7/1/1988,71.694
8/1/1988,72.194
9/1/1988,72.583
10/1/1988,72.832
11/1/1988,73.075
12/1/1988,73.288
1/1/1989,73.624
2/1/1989,73.974
3/1/1989,74.416
4/1/1989,74.874
5/1/1989,75.303
6/1/1989,75.703
7/1/1989,76.049
8/1/1989,76.279
9/1/1989,76.427
10/1/1989,76.493
11/1/1989,76.524
12/1/1989,76.499
1/1/1990,76.527
2/1/1990,76.587
3/1/1990,76.79
4/1/1990,77.041
5/1/1990,77.299
6/1/1990,77.504
7/1/1990,77.556
8/1/1990,77.473
9/1/1990,77.222
10/1/1990,76.906
11/1/1990,76.374
12/1/1990,75.965
1/1/1991,75.527
2/1/1991,75.247
3/1/1991,75.139
4/1/1991,75.312
5/1/1991,75.768
6/1/1991,76.251
7/1/1991,76.508
8/1/1991,76.586
9/1/1991,76.569
10/1/1991,76.284
11/1/1991,76.032
12/1/1991,75.832
1/1/1992,75.695
2/1/1992,75.65
3/1/1992,75.81
4/1/1992,76.077
5/1/1992,76.395
6/1/1992,76.6
7/1/1992,76.71
8/1/1992,76.731
9/1/1992,76.628
10/1/1992,76.599
11/1/1992,76.581
12/1/1992,76.466
1/1/1993,76.397
2/1/1993,76.329
3/1/1993,76.384
4/1/1993,76.662
5/1/1993,77.031
6/1/1993,77.516
7/1/1993,77.884
8/1/1993,78.13
9/1/1993,78.2
10/1/1993,78.176
11/1/1993,78.176
12/1/1993,78.119
1/1/1994,78.203
2/1/1994,78.209
3/1/1994,78.354
4/1/1994,78.708
5/1/1994,79.217
6/1/1994,79.71
7/1/1994,80.072
8/1/1994,80.325
9/1/1994,80.346
10/1/1994,80.309
11/1/1994,80.174
12/1/1994,80.084
1/1/1995,80.035
2/1/1995,80.004
3/1/1995,80.093
4/1/1995,80.386
5/1/1995,80.708
6/1/1995,81.084
7/1/1995,81.427
8/1/1995,81.67
9/1/1995,81.755
10/1/1995,81.744
11/1/1995,81.649
12/1/1995,81.533
1/1/1996,81.447
2/1/1996,81.421
3/1/1996,81.686
4/1/1996,82.144
5/1/1996,82.622
6/1/1996,83.071
7/1/1996,83.443
8/1/1996,83.671
9/1/1996,83.727
10/1/1996,83.654
11/1/1996,83.58
12/1/1996,83.514
1/1/1997,83.553
2/1/1997,83.618
3/1/1997,83.934
4/1/1997,84.348
5/1/1997,84.895
6/1/1997,85.428
7/1/1997,85.87
8/1/1997,86.179
9/1/1997,86.339
10/1/1997,86.436
11/1/1997,86.66
12/1/1997,86.876
1/1/1998,87.193
2/1/1998,87.403
3/1/1998,87.907
4/1/1998,88.587
5/1/1998,89.402
6/1/1998,90.222
7/1/1998,90.886
8/1/1998,91.434
9/1/1998,91.778
10/1/1998,92.025
11/1/1998,92.223
12/1/1998,92.469
1/1/1999,92.739
2/1/1999,93.006
3/1/1999,93.637
4/1/1999,94.464
5/1/1999,95.389
6/1/1999,96.392
7/1/1999,97.22
8/1/1999,97.926
9/1/1999,98.43
10/1/1999,98.864
11/1/1999,99.183
12/1/1999,99.577
1/1/2000,100
2/1/2000,100.57
3/1/2000,101.466
4/1/2000,102.541
5/1/2000,103.703
6/1/2000,104.857
7/1/2000,105.723
8/1/2000,106.522
9/1/2000,107.136
10/1/2000,107.729
11/1/2000,108.291
12/1/2000,108.792
1/1/2001,109.216
2/1/2001,109.644
3/1/2001,110.396
4/1/2001,111.249
5/1/2001,112.204
6/1/2001,113.274
7/1/2001,114.23
8/1/2001,114.991
9/1/2001,115.467
10/1/2001,115.683
11/1/2001,115.84
12/1/2001,116.057
1/1/2002,116.439
2/1/2002,116.919
3/1/2002,117.933
4/1/2002,119.213
5/1/2002,120.792
6/1/2002,122.336
7/1/2002,123.688
8/1/2002,124.73
9/1/2002,125.494
10/1/2002,126.136
11/1/2002,126.642
12/1/2002,127.15
1/1/2003,127.652
2/1/2003,128.327
3/1/2003,129.31
4/1/2003,130.491
5/1/2003,131.842
6/1/2003,133.226
7/1/2003,134.647
8/1/2003,135.965
9/1/2003,137.077
10/1/2003,137.979
11/1/2003,138.77
12/1/2003,139.633
1/1/2004,140.711
2/1/2004,142.035
3/1/2004,144.086
4/1/2004,146.183
5/1/2004,148.336
6/1/2004,150.519
7/1/2004,152.338
8/1/2004,153.814
9/1/2004,155.109
10/1/2004,156.301
11/1/2004,157.499
12/1/2004,158.675
1/1/2005,160.137
2/1/2005,161.932
3/1/2005,164.583
4/1/2005,167.002
5/1/2005,169.544
6/1/2005,172.015
7/1/2005,174.097
8/1/2005,175.923
9/1/2005,177.612
10/1/2005,178.755
11/1/2005,179.679
12/1/2005,180.113
1/1/2006,180.833
2/1/2006,181.505
3/1/2006,182.754
4/1/2006,183.652
5/1/2006,184.384
6/1/2006,184.553
7/1/2006,184.616
8/1/2006,184.414
9/1/2006,184.208
10/1/2006,184.063
11/1/2006,183.64
12/1/2006,183.237
1/1/2007,182.724
2/1/2007,182.476
3/1/2007,182.198
4/1/2007,182.137
5/1/2007,181.892
6/1/2007,181.548
7/1/2007,181.003
8/1/2007,180.244
9/1/2007,179.132
10/1/2007,177.542
11/1/2007,175.174
12/1/2007,173.348
1/1/2008,171.084
2/1/2008,169.196
3/1/2008,167.909
4/1/2008,167.329
5/1/2008,167.028
6/1/2008,166.547
7/1/2008,165.726
8/1/2008,164.291
9/1/2008,161.924
10/1/2008,159.171
11/1/2008,156.079
12/1/2008,152.553
1/1/2009,149.371
2/1/2009,147.627
3/1/2009,146.524
4/1/2009,146.952
5/1/2009,148.178
6/1/2009,149.804
7/1/2009,150.752
8/1/2009,150.67
9/1/2009,149.629
10/1/2009,148.589
11/1/2009,147.947
12/1/2009,146.676
1/1/2010,145.003
2/1/2010,143.056
3/1/2010,143.596
4/1/2010,145.398
5/1/2010,147.031
6/1/2010,147.695
7/1/2010,147.552
8/1/2010,146.413
9/1/2010,144.597
10/1/2010,143.126
11/1/2010,141.823
12/1/2010,140.636
1/1/2011,139.048
2/1/2011,137.744
3/1/2011,137.792
4/1/2011,139.154
5/1/2011,140.682
6/1/2011,141.934
7/1/2011,142.33
8/1/2011,141.773
9/1/2011,140.156
10/1/2011,138.398
11/1/2011,136.655
12/1/2011,135.158
1/1/2012,134.164
2/1/2012,133.999
3/1/2012,135.872
4/1/2012,138.479
5/1/2012,141.055
6/1/2012,143.173
7/1/2012,144.283
8/1/2012,144.706
9/1/2012,144.361
10/1/2012,143.974
11/1/2012,143.969
12/1/2012,143.875
1/1/2013,144.314
2/1/2013,145.158
3/1/2013,147.959
4/1/2013,150.974
5/1/2013,153.871
6/1/2013,156.443
7/1/2013,158.306
8/1/2013,159.414
9/1/2013,159.69
10/1/2013,159.567
11/1/2013,159.37
12/1/2013,159.291
1/1/2014,159.39
2/1/2014,159.9
3/1/2014,161.218
4/1/2014,162.995
5/1/2014,164.707
6/1/2014,166.232
7/1/2014,167.152
8/1/2014,167.467
9/1/2014,167.261
10/1/2014,166.932
11/1/2014,166.684
12/1/2014,166.494
1/1/2015,166.293
2/1/2015,166.682
3/1/2015,168.136
4/1/2015,170.006
5/1/2015,171.882
6/1/2015,173.483
7/1/2015,174.53
8/1/2015,174.978
9/1/2015,175.094
10/1/2015,175.107
11/1/2015,175.209
12/1/2015,175.185
1/1/2016,175.096
2/1/2016,175.331
3/1/2016,176.646
4/1/2016,178.537
5/1/2016,180.392
6/1/2016,181.981
7/1/2016,183.102
8/1/2016,183.753
9/1/2016,184.052
10/1/2016,184.134
11/1/2016,184.355
12/1/2016,184.532
1/1/2017,184.782
2/1/2017,185.147
3/1/2017,186.654
4/1/2017,188.667
5/1/2017,190.674
6/1/2017,192.421
7/1/2017,193.684
8/1/2017,194.532
9/1/2017,195.004
10/1/2017,195.269
11/1/2017,195.63
12/1/2017,196.038
1/1/2018,196.322
2/1/2018,197.123
3/1/2018,198.798
4/1/2018,200.836
5/1/2018,202.698
6/1/2018,204.306
7/1/2018,205.229
8/1/2018,205.598
9/1/2018,205.637
10/1/2018,205.625
11/1/2018,205.373
12/1/2018,204.962
1/1/2019,204.471
2/1/2019,204.72
3/1/2019,205.989
4/1/2019,207.849
5/1/2019,209.491
6/1/2019,210.707
